,City,Longitude,Latitude,Temperature,Max_Temperature,Humidity,Clouds,Wind Speed,Country,Datetime
98,puerto colombia,-74.9547,10.9878,78.80000000000001,78.80000000000001,83,20,6.17,CO,1619747082
99,pangai,-174.35,-19.8,82.4,82.4,83,75,2.06,TO,1619747082
100,tuatapere,167.6833,-46.1333,55.00400000000005,55.00400000000005,70,57,6.71,NZ,1619747083
101,saldanha,17.9442,-33.0117,60.09800000000003,60.09800000000003,73,0,8.09,ZA,1619747084
102,mahebourg,57.7,-20.4081,77.0,77.0,83,75,3.6,MU,1619747084
103,arraial do cabo,-42.0278,-22.9661,72.08600000000007,72.08600000000007,70,14,3.87,BR,1619747085
104,saint-augustin,-58.6502,51.226000000000006,41.486000000000075,41.486000000000075,83,100,1.61,CA,1619747086
105,camacupa,17.4833,-12.0167,60.29600000000005,60.29600000000005,96,96,1.39,AO,1619746947
106,kapaa,-159.319,22.0752,76.60400000000007,78.80000000000001,57,20,4.12,US,1619746908
107,khatanga,102.5,71.9667,32.39600000000005,32.39600000000005,97,100,3.17,RU,1619747017
108,arlit,7.3853,18.7369,86.108,86.108,8,3,2.61,NE,1619747088
109,turukhansk,87.9833,65.8167,35.168000000000085,35.168000000000085,95,100,7.46,RU,1619747088
110,bilibino,166.4372,68.0546,24.530000000000044,24.530000000000044,87,100,2.87,RU,1619747089
111,bonthe,-12.505,7.5264,80.69000000000001,80.69000000000001,79,45,1.25,SL,1619747028
112,antofagasta,-70.4,-23.65,60.8,60.8,82,0,3.09,CL,1619747090
113,batemans bay,150.1833,-35.7167,68.45,69.008,60,0,2.8,AU,1619747091
114,buala,159.5921,-8.145,83.46200000000006,83.46200000000006,72,97,2.24,SB,1619747091
115,talara,-81.2719,-4.5772,69.42200000000004,69.42200000000004,83,9,5.75,PE,1619746990
116,ponta delgada,-25.6667,37.7333,53.6,53.6,76,20,3.09,PT,1619747092
117,kodiak,-152.4072,57.79,42.8,42.8,81,90,1.54,US,1619746926
118,gerede,32.1969,40.8008,51.332000000000015,51.332000000000015,73,100,1.39,TR,1619747093
119,kulhudhuffushi,73.07,6.6221,83.55200000000008,83.55200000000008,74,98,2.76,MV,1619747094
120,ikorodu,3.5041,6.6191,80.6,80.6,89,20,1.03,NG,1619747095
121,xuddur,43.8894,4.1213,73.76000000000009,73.76000000000009,87,100,3.94,SO,1619747096
122,sivas,37.0019,39.7916,51.96200000000006,51.96200000000006,78,100,1.29,TR,1619747096
123,georgetown,100.3354,5.4112,82.25600000000003,84.2,83,20,2.06,MY,1619746906
124,kibre mengist,38.9833,5.8833,58.87400000000001,58.87400000000001,96,100,1.06,ET,1619747097
125,nueve de julio,-60.8831,-35.4444,60.00800000000001,60.00800000000001,71,0,1.79,AR,1619747098
126,marathon,-89.7668,44.9,51.54800000000003,57.2,38,1,2.06,US,1619747099
127,vila franca do campo,-25.4333,37.7167,53.6,53.6,76,20,3.09,PT,1619747099
128,saint george,-113.5841,37.1041,84.2,84.2,12,1,5.14,US,1619747010
129,upernavik,-56.1549,72.7868,24.548000000000023,24.548000000000023,63,100,1.67,GL,1619746899
130,huangcun,118.4037,30.0145,73.68800000000005,73.68800000000005,58,0,3.91,CN,1619747101
131,padang,100.3543,-0.9492,77.82800000000006,77.82800000000006,87,100,1.25,ID,1619747102
132,samarai,150.6667,-10.6167,81.1760000000001,81.1760000000001,76,53,4.48,PG,1619747103
133,kruisfontein,24.7314,-34.0033,55.99400000000007,55.99400000000007,95,100,0.45,ZA,1619746960
134,komsomolskiy,71.7189,40.4272,66.2,66.2,30,0,2.06,UZ,1619747104
135,sorland,12.6934,67.667,36.28399999999999,36.28399999999999,72,100,8.44,NO,1619747020
136,torbay,-52.7314,47.6666,37.544000000000075,37.99400000000007,81,1,3.6,CA,1619747105
137,matagami,-77.6328,49.7502,48.2,48.2,53,20,1.38,CA,1619747106
138,longyearbyen,15.6401,78.2186,19.4,19.4,63,40,5.66,SJ,1619747106
139,trinidad,-64.9,-14.8333,62.00600000000003,62.00600000000003,73,1,2.14,BO,1619747107
140,port elizabeth,25.5701,-33.918,55.99400000000007,55.99400000000007,95,98,0.45,ZA,1619747108
141,okhotsk,143.3,59.3833,38.93000000000004,38.93000000000004,75,89,0.65,RU,1619746992
142,corowa,146.3833,-36.0333,71.00600000000003,71.00600000000003,44,0,0.45,AU,1619747109
143,port alfred,26.891,-33.5906,62.79800000000003,62.79800000000003,72,100,6.37,ZA,1619747110
144,tilichiki,166.1,60.4667,32.82800000000007,32.82800000000007,99,100,0.43,RU,1619747110
145,ahipara,173.1667,-35.1667,65.37200000000004,65.37200000000004,63,10,3.21,NZ,1619747012
146,port lincoln,135.8667,-34.7333,72.77000000000007,72.77000000000007,37,39,5.34,AU,1619746919
147,dikson,80.5464,73.5069,7.141999999999996,7.141999999999996,94,73,3.65,RU,1619747112
148,saint-jean-de-braye,1.9771,47.913000000000004,46.47200000000004,46.99400000000007,71,0,3.09,FR,1619747113
149,linxia,103.2064,35.6003,63.5,63.5,26,0,0.68,CN,1619747113
150,ribeira grande,-28.7,38.5167,57.66800000000009,57.66800000000009,64,100,3.43,PT,1619747114
151,port blair,92.75,11.6667,83.62400000000002,83.62400000000002,70,100,2.54,IN,1619746961
152,sitka,-135.33,57.0531,46.4,46.4,87,90,6.69,US,1619746894
153,beringovskiy,179.3167,63.05,29.75,29.75,75,35,2.78,RU,1619747115
154,vanderhoof,-124.0198,54.0166,56.84000000000002,56.84000000000002,73,100,2.34,CA,1619747116
155,kurilsk,147.8833,45.2333,37.688000000000045,37.688000000000045,93,100,8.3,RU,1619747117
156,hithadhoo,73.0833,-0.6,83.53399999999999,83.53399999999999,72,81,2.72,MV,1619747118
157,sechura,-80.8222,-5.5569,70.5020000000001,70.5020000000001,74,3,6.79,PE,1619747118
158,dingle,122.6711,10.9995,87.99800000000002,87.99800000000002,42,6,2.66,PH,1619746989
159,ponta do sol,-17.1,32.6667,51.29600000000005,57.00200000000008,78,29,0.45,PT,1619746832
160,gorontalo,123.0595,0.5412,89.13200000000002,89.13200000000002,57,34,1.38,ID,1619747120
161,sinnamary,-52.95,5.3833,76.658,76.658,89,100,2.63,GF,1619747046
162,san nicolas,120.5953,18.1725,84.2,84.2,70,40,2.57,PH,1619747113
163,hokitika,170.9667,-42.7167,57.182000000000016,57.182000000000016,76,100,1.58,NZ,1619747121
164,ostrovnoy,39.5131,68.0531,25.37600000000009,25.37600000000009,87,100,8.49,RU,1619747122
165,erenhot,111.9767,43.6475,47.13800000000005,47.13800000000005,13,36,4.67,CN,1619747051
166,port hardy,-127.4199,50.6996,51.51200000000006,53.6,87,90,1.54,CA,1619746835
167,maxixe,35.3472,-23.8597,70.57400000000001,70.57400000000001,85,0,2.32,MZ,1619747123
168,yulara,130.9889,-25.2406,71.6,71.6,23,9,6.69,AU,1619747124
169,palmer,-72.3287,42.1584,57.25400000000005,60.00800000000001,100,90,1.54,US,1619747021
170,vila do maio,-23.2167,15.1333,71.6,71.6,73,20,5.66,CV,1619747125
171,ust-ishim,71.1665,57.6935,43.23200000000001,43.23200000000001,65,8,4.37,RU,1619747126
172,la ronge,-105.2842,55.1001,41.0,41.0,26,9,3.09,CA,1619747126
173,tazovskiy,78.7,67.4667,30.812000000000058,30.812000000000058,93,100,3.94,RU,1619747127
174,donskoy,38.3363,53.9711,41.82800000000006,41.82800000000006,74,100,4.94,RU,1619747128
175,dunedin,170.5036,-45.8742,55.99400000000007,55.99400000000007,69,100,8.49,NZ,1619746871
176,lazaro cardenas,-102.2,17.9583,77.28800000000004,77.28800000000004,80,98,3.1,MX,1619747129
177,ancud,-73.8203,-41.8697,52.736000000000075,57.00200000000008,94,20,8.23,CL,1619747129
178,thyolo,35.1405,-16.0678,63.01400000000004,63.01400000000004,93,17,1.68,MW,1619747130
179,diego de almagro,-70.05,-26.3667,57.88399999999999,57.88399999999999,58,0,0.89,CL,1619747131
180,ferme-neuve,-75.4493,46.7001,55.400000000000006,55.400000000000006,67,100,1.54,CA,1619747132
181,chaiyaphum,102.0,15.75,80.92400000000002,80.92400000000002,69,96,2.78,TH,1619747133
182,mehamn,27.8492,71.0357,27.986000000000068,27.986000000000068,63,100,9.51,NO,1619747133
183,lata,-8.3327,40.1629,48.07400000000001,51.00800000000001,86,73,0.52,PT,1619747134
184,cockburn town,-71.1419,21.4612,78.27800000000008,78.27800000000008,77,1,8.19,TC,1619747135
185,wukari,9.7833,7.85,80.258,80.258,67,100,2.37,NG,1619747007
186,almaznyy,40.045,48.0448,51.8,51.8,76,40,6.0,RU,1619747136
187,bethel,-73.414,41.3712,63.93200000000002,68.0,77,75,2.57,US,1619747136
188,bredasdorp,20.0403,-34.5322,48.2,48.2,93,5,2.57,ZA,1619747137
189,san francisco menendez,-90.0158,13.8431,78.566,78.566,76,4,1.33,SV,1619747138
190,komsomolets,62.0708,53.7453,43.88000000000004,43.88000000000004,66,1,4.08,KZ,1619747139
